Datetime,SVD_O2A,SVD_O2B,SVD_O2A_PSII,NIR_v_O2A,NIR_v_O2B,NDVI,fPAR,fesc,Temperature_dataset0,rH,VPD,vwc,Rn,PAR_dataset0,Ca,GPP_dataset0
2020-12-15 10:30:00,0.00414797546588473,0.00414797546588473,0,0.256503474668038,0.256503474668038,0.256503474668038,0.32410302519705,0.208610887502113,-3.1802,79.2742,-37.8064255914655,25.4,103.3155,316.3962,443.3376345,4.71552650522364
2020-12-15 11:00:00,0.00622134814663814,0.00713304086615896,0,0.201023369312826,0.109921264012531,0.335586096606982,0.323623628937998,0.208454024373479,-2.8435,73.9883,-36.1507719870495,25.3,128.9452,340.7049,440.7789086,4.27973448308621
2020-12-15 11:30:00,0.00657080700668345,0.00331417369932679,0,0.201709438640473,0.110622939528956,0.333697950841266,0.323144232678945,0.208297161244845,-2.3061,72.7783,-37.0013554947197,25.3,131.5939,333.98535,438.2201827,3.84394246094878
2020-12-15 12:00:00,0.00825699977520989,0.00621023874731023,0,0.203511424702196,0.112468653181933,0.329600136986192,0.322199754630763,0.208185737251627,-1.7304,69.3711,-36.7795606558208,25.3,152.3589,379.0596,435.6614568,4.21242632726497
2020-12-15 12:30:00,0.00797896754372875,0.00826613341622152,0,0.203876086080915,0.113289687661351,0.327483423199484,0.321564762780956,0.207628590896853,-1.0334,64.8282,-36.1439248664963,25.3,146.535,373.19115,435.4812077,6.47815146466939
2020-12-15 13:00:00,0.00775275610694705,0.0103068529648928,0,0.205181004709627,0.114538440312279,0.324653037021877,0.320921996816866,0.207566439754495,-0.82931,56.6402,-31.982539089197,25.3,151.7156,389.03715,436.0340379,4.68738985584849
2020-12-15 13:30:00,0.00709642311511035,0.00218139636720564,0,0.205557790965858,0.115160847922912,0.324702023586179,0.32049103361405,0.208258652162158,-0.57231,54.7213,-31.4660248969721,25.3,135.59,355.311,437.0919287,5.04418814572446
2020-12-15 14:00:00,0.00745131086155847,0.0044821355405482,0,0.206344395124636,0.115903564589811,0.322783471011417,0.320244113405896,0.207980591348646,-0.22569,54.9612,-32.4167458517049,25.3,132.4763,346.99095,439.1346577,3.47255694919461
2020-12-15 14:30:00,0.00789860353247442,0.00716420636207959,0,0.207914878728596,0.116598599572471,0.323431537588411,0.320350039532836,0.209914845063739,-0.056701,56.3071,-33.6369220079261,25.3,135.5534,352.52025,439.253158,4.84051256432428
2020-12-15 15:00:00,0.00701335952333685,0.00630439206450356,0,0.208504649107041,0.116677192647966,0.32380054431896,0.320599674410495,0.210586361318162,0.076586,56.0388,-33.8000019146476,25.3,115.954,314.31045,440.3010957,4.48871651484688
2020-12-15 15:30:00,0.00617830244504218,0.00565271156376054,0,0.210227227599334,0.11671634125562,0.328105641301041,0.321611236893947,0.214472417060368,0.24958,54.8511,-33.4890329517442,25.3,95.0294,270.819,440.1745188,4.590655347877
2020-12-15 16:00:00,0.00452405462851453,0.000273980408306833,0,0.208859252215024,0.115912488943125,0.327405933277806,0.321522285471876,0.212681240103794,0.498,55.327,-34.3993952801925,25.3,61.4975,198.9714,440.4734084,3.910275147446
2020-12-15 16:30:00,0.00322540110888384,-0.00288391291302831,0,0.209187528732243,0.115419725300689,0.331256103622551,0.322314849135953,0.214990546914097,0.55843,54.4693,-34.0048685355692,25.35,33.7425,141.7806,440.2665484,3.37798443754663
2020-12-15 17:00:00,0.00214853536222424,-0.00163448984203676,0,0.20827179549286,0.113230171785497,0.33890697486778,0.324310046017316,0.217645937976887,0.43618,54.4555,-33.6962230977015,25.4,4.8734,89.40915,441.396443,1.4562374632829
2020-12-15 17:30:00,0.000884039106662571,0.000912845976740201,0,0.201797564621916,0.108898711561991,0.342007091887757,0.324828269076195,0.212469802651887,0.12586,55.1581,-33.37853321104,25.2,-20.9237,33.93675,442.049347912903,1.4519643630954
2020-12-16 08:30:00,0.00128545644104114,0.00108287119809998,0,0.196482277924438,0.104930585819541,0.346773118684282,0.327070651103343,0.208318209084804,-2.6476,87.6228,-43.5345537819365,25.1,-16.13,33.3192,461.6364953,1.32377135747026
2020-12-16 09:00:00,0.00262056711334542,0.00221029635285772,0,0.19256161743444,0.100161219360345,0.355795497975034,0.330273679939454,0.207441769439588,-2.3803,86.7734,-43.9728753910204,25.5,-1.4433,87.01845,461.5915818,2.47365634946518
2020-12-16 09:30:00,0.00410618180550522,0.00187827050866065,0,0.1981132385656,0.0995590777964642,0.373692474661858,0.334701041080318,0.221192698247653,-2.1309,85.6492,-44.2068759512758,25.3,25.4553,155.50455,460.2111518,0.424605581918366
2020-12-16 10:00:00,0.00736193331938429,0.00238852511506338,0,0.210981751049601,0.100341184242323,0.39593071776574,0.340570754069183,0.245276950913913,-1.6335,82.8054,-44.3223227552804,25.3,92.4557,278.10285,459.2968968,1.28278550510081
2020-12-16 11:30:00,0.0137867142256509,-0.0047390191486812,0,0.216030221016572,0.109090899144371,0.369776379371115,0.332747246584022,0.24007072570044,0.50648,68.7325,-42.9140086053529,25.3,228.1495,557.3496,458.81503326,5.05630699177165
2020-12-16 12:00:00,0.0107487680181533,-0.00257572671178963,0,0.216580540528353,0.113181774115482,0.354709543459052,0.328583111046758,0.233801379529803,0.78925,65.2517,-41.5504205639395,25.3,181.2761,493.503,458.65441208,3.47387069591444
